   lon        lat        precip
  -62.5500   -37.9500     0.1476
  -62.4500   -37.9500     0.0000
  -62.3500   -37.9500     0.0395
  -62.2500   -37.9500     0.1356
  -62.1500   -37.9500     0.0561
  -62.0500   -37.9500     0.2020
  -61.9500   -37.9500     0.1689
  -61.8500   -37.9500     0.1485
  -61.7500   -37.9500     0.1477
  -61.6500   -37.9500     0.3405
  -61.5500   -37.9500     0.1637
  -61.4500   -37.9500     0.0835
  -61.3500   -37.9500     0.0634
  -61.2500   -37.9500     0.0882
  -61.1500   -37.9500     0.1161
  -61.0500   -37.9500     0.2085
  -60.9500   -37.9500     0.0669
  -60.8500   -37.9500     0.3789
  -60.7500   -37.9500     1.0237
  -60.6500   -37.9500     0.6474
  -60.5500   -37.9500     1.3701
  -60.4500   -37.9500     1.4295
  -60.3500   -37.9500     1.1054
  -60.2500   -37.9500     1.2406
  -60.1500   -37.9500     2.4525
  -60.0500   -37.9500     1.6251
  -59.9500   -37.9500     0.8960
  -59.8500   -37.9500     0.8801
  -59.7500   -37.9500     0.8043
  -59.6500   -37.9500     1.0855
  -59.5500   -37.9500     0.7121
  -59.4500   -37.9500     0.5859
  -59.3500   -37.9500     0.7540
  -59.2500   -37.9500     0.6386
  -59.1500   -37.9500     0.6225
  -59.0500   -37.9500     0.5873
  -58.9500   -37.9500     0.4430
  -58.8500   -37.9500     0.4229
  -58.7500   -37.9500     0.3669
  -58.6500   -37.9500     0.2778
  -58.5500   -37.9500     0.2999
  -58.4500   -37.9500     0.2815
  -58.3500   -37.9500     0.2767
  -58.2500   -37.9500     0.2542
  -58.1500   -37.9500     0.2680
  -58.0500   -37.9500     0.2098
  -57.9500   -37.9500     0.2666
  -57.8500   -37.9500     0.2428
  -57.7500   -37.9500     0.2441
  -57.6500   -37.9500     0.2403
  -57.5500   -37.9500     0.1789
  -57.4500   -37.9500     0.1980
  -57.3500   -37.9500     0.3500
  -57.2500   -37.9500     0.2250
  -57.1500   -37.9500     0.1250
  -57.0500   -37.9500     0.1250
  -56.9500   -37.9500     0.1750
  -56.8500   -37.9500     0.1250
  -56.7500   -37.9500     0.1250
  -56.6500   -37.9500     0.1000
  -56.5500   -37.9500     0.0500
  -56.4500   -37.9500     0.0250
  -56.3500   -37.9500     0.0250
  -56.2500   -37.9500     0.0000
  -56.1500   -37.9500     0.0000
  -56.0500   -37.9500     0.0000
  -55.9500   -37.9500     0.0000
  -68.0500   -37.8500     0.0000
  -67.9500   -37.8500     0.0000
  -67.8500   -37.8500     0.0000
  -67.7500   -37.8500     0.0000
  -67.6500   -37.8500     0.0000
  -67.5500   -37.8500     0.0000
  -67.4500   -37.8500     0.0000
  -67.3500   -37.8500     0.0000
  -67.2500   -37.8500     0.0000
  -67.1500   -37.8500     0.0000
  -67.0500   -37.8500     0.0000
  -66.9500   -37.8500     0.0000
  -66.8500   -37.8500     0.0000
  -66.7500   -37.8500     0.0000
  -66.6500   -37.8500     0.0000
  -66.5500   -37.8500     0.0000
  -66.4500   -37.8500     0.0000
